date,time,Team A,Team B,Spread,OU,Team A Score Actual,Team B Score Actual
23-Aug,12:00:00 PM,Kansas State,Iowa State,-3,51.5,21,24
23-Aug,7:30:00 PM,Kansas,Fresno State,-14,49.5,31,7
23-Aug,7:30:00 PM,Western Kentucky,Sam Houston,-10,59.5,41,24
23-Aug,7:30:00 PM,Hawaii,Stanford,-2.5,49.5,23,20
