date,time,Team A,Team B,Team A Score Actual,Team B Score Actual,OU,Spread,TeamAML,TeamBML
21-Oct,19:00,Florida International,Kennesaw State,26,45,49,3,105,-125
21-Oct,19:30,Louisiana Tech,Western Kentucky,27,28,50,-3.5,-160,135
22-Oct,19:30,Delaware,Middle Tennessee,31,28,55,-8.5,-390,295
22-Oct,21:00,New Mexico State,Missouri State,17,24,52,2,105,-125
23-Oct,19:30,Georgia State,South Alabama,31,38,56,6.5,190,-230
24-Oct,19:00,Charlotte,North Texas,20,54,61.5,26,1300,-5000
24-Oct,19:30,Virginia Tech,California,42,34,50,-6.5,-185,160
24-Oct,22:00,Nevada,Boise State,3,24,50.5,21.5,900,-1900
25-Oct,16:15,Mississippi State,Texas,38,45,45,7,190,-230
25-Oct,19:00,Oregon,Wisconsin,21,7,44.5,-33.5,,
25-Oct,15:30,South Carolina,Alabama,22,29,47.5,11.5,390,-550
25-Oct,19:30,LSU,Texas A&M,25,49,47.5,2.5,110,-130
25-Oct,19:00,Miami,Stanford,42,7,45.5,-30,,
25-Oct,20:00,Arizona State,Houston,16,24,47,-8,-320,260
25-Oct,15:30,Washington,Illinois,42,25,55,-4.5,-210,175
25-Oct,19:30,Michigan State,Michigan,20,31,48,14,425,-600
25-Oct,12:00,Wake Forest,SMU,13,12,54,3.5,150,-175
25-Oct,12:00,Kansas,Kansas State,17,42,56.5,-3,-140,120
25-Oct,12:00,Indiana,UCLA,56,6,54.5,-25,-2800,1100
25-Oct,15:30,Iowa State,BYU,27,41,49,-2.5,-130,110
25-Oct,16:00,Texas Tech,Oklahoma State,42,0,56.5,-38.5,,
25-Oct,15:30,Vanderbilt,Missouri,17,10,52,-2.5,-150,130
25-Oct,15:30,Iowa,Minnesota,41,3,39,-9.5,-330,265
25-Oct,12:00,Nebraska,Northwestern,28,21,43.5,-7,-285,235
25-Oct,12:00,Purdue,Rutgers,24,27,59,2.5,110,-130
25-Oct,19:30,Louisville,Boston College,38,24,55.5,-25,-2800,1100
25-Oct,12:00,Georgia Tech,Syracuse,41,16,54,-17.5,-1000,625
25-Oct,12:00,North Carolina,Virginia,16,17,52,10.5,270,-340
25-Oct,15:30,Pittsburgh,NC State,53,34,57,-6.5,-310,255
25-Oct,16:00,Cincinnati,Baylor,41,20,68,-4.5,-220,180
25-Oct,22:15,Utah,Colorado,53,7,50.5,-14,-700,475
25-Oct,18:00,West Virginia,TCU,17,23,56.5,14.5,460,-675
25-Oct,15:00,Rice,UConn,37,34,48.5,10,290,-380
25-Oct,15:30,Fresno State,San Diego State,0,23,48,3.5,140,-165
25-Oct,12:00,Old Dominion,App State,24,21,63,-13.5,-575,400
25-Oct,15:30,Southern Miss,UL Monroe,49,21,50.5,-12,-480,350
25-Oct,19:00,Troy,Louisiana,35,23,47.5,-8,-350,275
25-Oct,12:00,Memphis,South Florida,34,31,63.5,5,160,-185
25-Oct,15:30,Tulsa,Temple,37,38,53.5,6.5,185,-225
25-Oct,13:00,Buffalo,Akron,16,24,47.5,-9,-415,310
25-Oct,15:30,Northern Illinois,Ball State,21,7,41,-5.5,-220,180
25-Oct,12:00,Kent State,Bowling Green,24,21,48.5,8.5,260,-320
25-Oct,12:00,Eastern Michigan,Ohio,21,28,59,12.5,310,-415
25-Oct,15:00,New Mexico,Utah State,33,14,61.5,-3,-130,110
25-Oct,15:30,Washington State,Toledo,28,7,47.5,-1.5,-120,100
25-Oct,15:30,Navy,Florida Atlantic,42,32,62.5,-15,-625,430
25-Oct,15:30,Central Michigan,UMass,38,13,47,-16.5,-700,475
25-Oct,15:30,Miami (OH),Western Michigan,26,17,40.5,-2.5,-130,110
25-Oct,19:00,Arkansas State,Georgia Southern,34,24,62.5,-2.5,-135,115
25-Oct,19:30,Wyoming,Colorado State,28,0,46.5,-6,-220,180
25-Oct,12:00,Oklahoma,Ole Miss,26,34,54,-5,-200,170
25-Oct,12:45,Arkansas,Auburn,24,33,57,-1,100,-120
25-Oct,19:45,Kentucky,Tennessee,34,56,54,9.5,275,-350
