date,time,Team A,Team B,Spread,OU,Team A Score Actual,Team B Score Actual,TeamAML,TeamBML
4-Nov,19:00,Ohio,Miami(OH),-2.5,49.5,24,20,-144,121
4-Nov,19:00,Akron,UMass,-10.5,50.5,10,44,-455,343
5-Nov,19:00,Ball State,Kent State,-1.5,46.5,17,13,-125,104
5-Nov,19:00,Toledo,Northern Illinois,-14.5,42.5,42,3,-704,500
6-Nov,19:30,App State,Georgia Southern,-6.5,62.5,,,-234,190
6-Nov,19:30,South Florida,UTSA,-14,68.5,,,-602,440
7-Nov,20:00,UCF,Houston,-1.5,47.5,,,-112,-108
7-Nov,21:00,USC,Northwestern,-14.5,50.5,,,-602,438
7-Nov,21:00,Memphis,Tulane,-6,55.5,,,-224,184
8-Nov,12:00,Texas Tech,BYU,-10,52.5,,,-361,283
8-Nov,12:00,West Virginia,Colorado,-6.5,55.5,,,-226,185
8-Nov,12:00,Penn State,Indiana,14.5,49.5,,,517,-735
8-Nov,12:00,Marshall,James Madison,13.5,55.5,,,400,-552
8-Nov,12:00,Boston College,SMU,10.5,55.5,,,333,-439
8-Nov,12:00,Army,Temple,-6.5,46.5,,,-244,198
8-Nov,12:00,Mississippi State,Georgia,8.5,57.5,,,253,-317
8-Nov,12:00,Arkansas State,Southern Miss,4.5,56.5,,,158,-193
8-Nov,13:00,Eastern Michigan,Bowling Green,-1.5,50.5,,,-129,107
8-Nov,13:00,Liberty,Missouri State,-7.5,51.5,,,-311,245
8-Nov,13:00,Purdue,Ohio State,29.5,47.5,,,2350,-9091
8-Nov,14:00,Rice,UAB,-2.5,53.5,,,-141,118
8-Nov,14:30,Rutgers,Maryland,1.5,58.5,,,-111,-108
8-Nov,15:00,East Carolina,Charlotte,-28.5,56.5,,,-9091,2125
8-Nov,15:00,Middle Tennessee,Florida International,1.5,51.5,,,-108,-113
8-Nov,15:00,UTEP,Jacksonville State,1.5,49.5,,,-107,-114
8-Nov,15:00,Delaware,Louisiana Tech,5.5,57.5,,,176,-216
8-Nov,15:00,Florida Atlantic,Tulsa,-3.5,64.5,,,-178,147
8-Nov,15:30,Miami,Syracuse,-28.5,45.5,,,-9091,2250
8-Nov,15:30,UConn,Duke,9.5,65.5,,,271,-347
8-Nov,15:30,TCU,Iowa State,-6.5,57.5,,,-240,196
8-Nov,15:30,Arizona,Kansas,-4.5,56.5,,,-192,159
8-Nov,15:30,Iowa,Oregon,6.5,41.5,,,190,-234
8-Nov,15:30,Missouri,Texas A&M,7,48.5,,,224,-279
8-Nov,16:00,Vanderbilt,Auburn,-6.5,45.5,,,-249,203
8-Nov,16:00,Coastal Carolina,Georgia State,-7.5,57.5,,,-292,231
8-Nov,16:00,New Mexico State,Kennesaw State,9.5,52.5,,,275,-352
8-Nov,16:30,North Carolina,Stanford,-7.5,41.5,,,-286,230
8-Nov,16:30,Wisconsin,Washington,11.5,44.5,,,345,-452
8-Nov,17:00,Louisiana,Texas State,2.5,64.5,,,117,-141
8-Nov,18:00,San José State,Air Force,-4.5,66.5,,,-202,166
8-Nov,19:00,Louisville,California,-19.5,50.5,,,-1299,778
8-Nov,19:00,Clemson,Florida State,-2.5,55.5,,,-128,108
8-Nov,19:00,Virginia,Wake Forest,-6.5,48.5,,,-254,205
8-Nov,19:30,Kentucky,Florida,3,43.5,,,138,-165
8-Nov,19:30,Alabama,LSU,-10,49.5,,,-370,290
8-Nov,19:30,Notre Dame,Navy,-26.5,56.5,,,-4348,1400
8-Nov,19:30,Utah State,Nevada,-9.5,52.5,,,-340,266
8-Nov,21:00,UCLA,Nebraska,-1.5,43.5,,,-119,-101
8-Nov,21:30,Colorado State,UNLV,4.5,62.5,,,161,-195
8-Nov,22:00,Oregon State,Sam Houston,-19.5,53.5,,,-1408,788
8-Nov,23:00,Hawaii,San Diego State,7,50.5,,,215,-267

