HomeTeam,HomeScore,AwayTeam,AwayScore,FormattedSpread,LineProvider,OverUnder,Spread,OpeningSpread,OpeningOverUnder
Hawai'i,37,Sam Houston,20,Hawai'i -7.0,Bovada,47.5,-7,-10,49
Virginia Tech,20,Vanderbilt,44,Virginia Tech -1.5,Bovada,44.5,-1.5,-1,47.5
Boise State,51,Eastern Washington,14,Boise State -33.0,Bovada,59.5,-33,-29.5,56.5
Northwestern,42,Western Illinois,7,Northwestern -31.5,Bovada,49.5,-31.5,-28.5,51.5
Minnesota,66,Northwestern State,0,Minnesota -43.0,Bovada,50.5,-43,-43,50.5
Temple,55,Howard,7,Temple -28.0,Bovada,47,-28,-27.5,46.5
Tennessee,72,East Tennessee State,17,Tennessee -39.5,Bovada,58.5,-39.5,-41,56.5
Georgia,28,Austin Peay,6,Georgia -47.0,Bovada,55.5,-47,-48,55.5
East Carolina,56,Campbell,3,East Carolina -30.0,Bovada,56,-30,-29.5,52.5
Wyoming,31,Northern Iowa,7,Wyoming -14.0,Bovada,47.5,-14,-13.5,47.5
New Mexico,32,Idaho State,22,New Mexico -17.5,Bovada,60,-17.5,-15.5,63.5
Buffalo,45,St. Francis (PA),6,Buffalo -37.0,Bovada,48,-37,-35.5,49.5
Southern Miss,38,Jackson State,20,Southern Miss -13.5,Bovada,53,-13.5,-14,52.5
Old Dominion,54,North Carolina Central,6,Old Dominion -22.0,Bovada,50.5,-22,-20,50.5
Florida Atlantic,56,Florida A&M,14,Florida Atlantic -21.0,Bovada,51,-21,-20,46.5
Utah,63,Cal Poly,9,Utah -42.5,Bovada,53.5,-42.5,-41.5,52
UTEP,42,UT Martin,17,UTEP -7.5,Bovada,49.5,-7.5,-6.5,51.5
Coastal Carolina,13,Charleston Southern,0,Coastal Carolina -28.5,Bovada,49,-28.5,-28.5,49.5
Louisiana,34,McNeese,10,Louisiana -19.0,Bovada,50,-19,-20.5,52.5
Purdue,34,Southern Illinois,17,Purdue -19.5,Bovada,52,-19.5,-20,51.5
Wake Forest,42,Western Carolina,10,Wake Forest -17.5,Bovada,60.5,-17.5,-20,61.5
Ohio State,70,Grambling,0,Ohio State -55.5,Bovada,62.5,-55.5,-55.5,62.5
App State,20,Lindenwood,13,App State -31.5,Bovada,56,-31.5,-31,53
Georgia Tech,59,Gardner-Webb,12,Georgia Tech -37.5,Bovada,60.5,-37.5,-37.5,58.5
California,35,Texas Southern,3,California -44.5,Bovada,54.5,-44.5,-45,54
Eastern Michigan,23,Long Island University,28,Eastern Michigan -22.5,Bovada,54.5,-22.5,-22.5,54.5
Arizona,48,Weber State,3,Arizona -31.5,Bovada,56.5,-31.5,-31.5,56.5
Nevada,20,Sacramento State,17,Nevada -8.0,Bovada,56,-8,-7.5,54.5
UCF,68,North Carolina A&T,7,UCF -38.0,Bovada,51,-38,-39.5,50.5
Massachusetts,26,Bryant,27,Massachusetts -14.5,Bovada,52,-14.5,-13,52.5
South Carolina,38,South Carolina State,10,South Carolina -43.0,Bovada,54,-43,-42.5,52.5
Washington,70,UC Davis,10,Washington -28.0,Bovada,54,-28,-28.5,53.5
Florida State,77,East Texas A&M,3,Florida State -45.5,Bovada,58.5,-45.5,-43.5,57.5
Charlotte,3,North Carolina,20,North Carolina -15.0,Bovada,49.5,15,13,49.5
Colorado State,21,Northern Colorado,17,Colorado State -35.0,Bovada,52.5,-35,-35,52.5
