"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401752908","Penn State","37","Nebraska","10","Penn State -7.0","Bovada","45","-7","-9.5","43.5","-360","280"
"401760415","Air Force","3","New Mexico","20","New Mexico -3.5","Bovada","53.5","3.5","2","58","135","-160"
"401762514","Rice","24","North Texas","56","North Texas -18.5","Bovada","57","18.5","18","54.5","650","-1100"
"401754601","Georgia Tech","28","Pittsburgh","42","Georgia Tech -2.5","Bovada","60","-2.5","-2.5","62","-135","115"
"401760416","Boise State","49","Colorado State","21","Boise State -17.0","Bovada","45.5","-17","-16.5","45.5","-750","500"
"401752775","Florida","11","Tennessee","31","Tennessee -3.0","Bovada","58","3","3.5","57.5","165","-195"
"401756955","Cincinnati","14","BYU","26","BYU -2.5","Bovada","56.5","2.5","2","54","115","-135"
"401752777","LSU","13","Western Kentucky","10","LSU -24.5","Bovada","52","-24.5","-21.5","50.5","-1800","850"
"401756956","Colorado","17","Arizona State","42","Arizona State -7.0","Bovada","47.5","7","7.5","49","220","-270"
"401760417","Fresno State","17","Utah State","28","Fresno State -2.0","Bovada","50","-2","-2.5","50.5","-145","125"
"401760420","San Diego State","25","San José State","3","San Diego State -10.0","Bovada","51.5","-10","-12","49.5","-525","375"
"401762862","Bowling Green","16","Akron","19","Bowling Green -2.0","Bovada","48","-2","-4","47","-140","120"
"401760418","UNLV","38","Hawai'i","10","UNLV -2.5","Bovada","64.5","-2.5","-2.5","64.5","-145","125"
"401752954","James Madison","24","Washington State","20","James Madison -15.0","Bovada","44.5","-15","-13.5","44.5","-585","410"
"401754598","NC State","21","Florida State","11","Florida State -6.5","Bovada","58.5","6.5","5.5","61.5","165","-195"
"401756954","Arizona","41","Baylor","17","Arizona -6.5","Bovada","61.5","-6.5","-6.5","63","-245","205"
"401761655","Arkansas State","30","Louisiana","34","Arkansas State -2.5","Bovada","54","-2.5","-3","54.5","-140","120"
"401761657","Georgia Southern","10","Old Dominion","45","Old Dominion -10.0","Bovada","62","10","10","62","350","-480"
"401762512","Army","25","Tulsa","26","Army -10.0","Bovada","43.5","-10","-11","46.5","-410","305"
"401762864","Northern Illinois","19","Western Michigan","35","Western Michigan -7.0","Bovada","39.5","7","6","38.5","220","-270"
"401762865","Buffalo","20","Miami (OH)","37","Miami (OH) -2.5","Bovada","38.5","2.5","-2","39.5","100","-120"
"401762863","Ohio","42","Massachusetts","14","Ohio -33.5","Bovada","53","-33.5","-32.5","51","",""
"401752780","Texas","52","Arkansas","37","Texas -8.5","Bovada","58","-8.5","-10","56.5","-370","285"
"401754599","Stanford","31","California","10","California -4.5","Bovada","47.5","4.5","3","49.5","125","-145"
"401756959","UCF","17","Oklahoma State","14","UCF -13.5","Bovada","47.5","-13.5","-14.5","48.5","-600","425"
"401752915","Wisconsin","27","Illinois","10","Illinois -9.5","Bovada","42","9.5","9","41","255","-310"
"401752910","UCLA","14","Washington","48","Washington -11.0","Bovada","51","11","10.5","52.5","300","-400"
"401757306","Kennesaw State","41","Missouri State","34","Kennesaw State -6.5","Bovada","54","-6.5","-6.5","58.5","-235","195"
"401762866","Kent State","16","Central Michigan","28","Central Michigan -7.5","Bovada","50.5","7.5","8","46.5","270","-340"
"401752909","Northwestern","38","Minnesota","35","Northwestern -4.0","Bovada","41","-4","-5.5","40.5","-185","160"
"401752781","Texas A&M","48","Samford","0","Texas A&M -54.5","Bovada","59.5","-54.5","-54.5","59.5","",""
"401754606","Wake Forest","52","Delaware","14","Wake Forest -17.5","Bovada","49.5","-17.5","-18","52","-950","600"
"401754602","SMU","38","Louisville","6","SMU -4.0","Bovada","49.5","-4","-3","53","-135","115"
"401756958","Iowa State","38","Kansas","14","Iowa State -3.5","Bovada","55.5","-3.5","-4","56","-195","165"
"401752912","Ohio State","42","Rutgers","9","Ohio State -29.0","Bovada","54","-29","-32.5","56","",""
