date,time,Team A,Team B,Spread,OU,Team A Score Actual,Team B Score Actual,TeamAML,TeamBML
11/18/2025,19:00,Bowling Green,Akron,-3,46.5,19,16,-148,124
18-Nov,19:00,Ohio,UMass,-33.5,53.5,42,14,-12500,2967
18-Nov,19:00,Northern Illinois,Western Michigan,6.5,38.5,19,35,209,-259
19-Nov,19:00,Kent State,Central Michigan,8.5,48.5,16,28,259,-325
19-Nov,19:00,Buffalo,Miami (OH),1.5,39.5,20,37,-103,-117
20-Nov,19:30,Arkansas State,Louisiana,-3,53.5,,,-143,120
21-Nov,20:00,NC State,Florida State,4.5,61.5,,,171,-207
21-Nov,22:30,UNLV,Hawaii,-3,64.5,,,-139,117
22-Nov,12:00,Wake Forest,Delaware,-17.5,52.5,,,-971,629
22-Nov,12:00,Iowa State,Kansas,-4.5,55.5,,,-187,155
22-Nov,12:00,SMU,Louisville,-2.5,52.5,,,-144,120
22-Nov,12:00,Virginia Tech,Miami,17.5,48.5,,,633,-1000
22-Nov,12:00,Northwestern,Minnesota,-3.5,40.5,,,-183,152
22-Nov,12:00,Oklahoma,Missouri,-7.5,42.5,,,-300,239
22-Nov,12:00,Ohio State,Rutgers,-31.5,55.5,,,-9091,2600
22-Nov,12:00,Army,Tulsa,-10,45.5,,,-398,309
22-Nov,12:45,Georgia,Charlotte,-43.5,53.5,,,-10000,5000
22-Nov,13:00,Arizona,Baylor,-6.5,62.5,,,-248,200
22-Nov,13:00,Georgia Southern,Old Dominion,12.5,62.5,,,366,-485
22-Nov,13:00,James Madison,Washington State,-13.5,42.5,,,-633,454
22-Nov,14:00,Toledo,Ball State,-27.5,47.5,,,-6250,1775
22-Nov,14:00,Kennesaw State,Missouri State,-6.5,57.5,,,-234,191
22-Nov,14:00,Wyoming,Nevada,-6.5,40.5,,,-254,205
22-Nov,14:30,App State,Marshall,4.5,54.5,,,163,-198
22-Nov,15:00,Louisiana Tech,Liberty,-1.5,44.5,,,-110,-110
22-Nov,15:00,UTEP,New Mexico State,-3,44.5,,,-163,136
22-Nov,15:00,Middle Tennesse,Sam Houston,-6.5,53.5,,,-253,205
22-Nov,15:00,UAB,South Florida,21.5,69.5,,,1065,-2178
22-Nov,15:00,Florida Atlantic,UConn,7,65.5,,,229,-287
22-Nov,15:30,Texas,Arkansas,-9.5,57.5,,,-345,272
22-Nov,15:30,Notre Dame,Syracuse,-35.5,50.5,,,-10000,5500
22-Nov,15:30,North Carolina,Duke,6.5,51.5,,,203,-253
22-Nov,15:30,UTSA,East Carolina,2.5,62.5,,,112,-132
22-Nov,15:30,Florida International,Jacksonville State,1.5,56.5,,,-107,-112
22-Nov,15:30,Iowa ,Michigan State,-17,42.5,,,-870,575
22-Nov,15:30,Vanderbilt,Kentucky,-9.5,53.5,,,-373,289
22-Nov,15:30,Oregon,USC,-9.5,59.5,,,-382,294
22-Nov,15:30,South Alabama,Southern Miss,1.5,54.5,,,105,-126
22-Nov,15:45,Temple,Tulane,7.5,56.5,,,255,-322
22-Nov,16:00,Troy,Georgia State,-11.5,51.5,,,-474,356
22-Nov,16:00,Utah,Kansas State,-17.5,52.5,,,-952,615
22-Nov,16:00,Maryland,Michigan,13.5,45.5,,,425,-592
22-Nov,16:00,UCF,Oklahoma State,-14,48.5,,,-641,458
22-Nov,16:00,Houston,TCU,-1.5,54.5,,,-116,-104
22-Nov,16:15,South Carolina,Coastal Carolina,-24.5,50.5,,,-3448,1325
22-Nov,17:00,Texas State,UL Monroe,-17.5,57.5,,,-1220,744
22-Nov,19:00,Boise State,Colorado State,-16.5,44.5,,,-847,563
22-Nov,19:00,Penn State,Nebraska,-9.5,44.5,,,-357,280
22-Nov,19:00,Air Force,New Mexico,3.5,55.5,,,131,-158
22-Nov,19:00,Georgia Tech,Pittsburgh,-2.5,61.5,,,-135,113
22-Nov,19:30,Stanford,California,3,46.5,,,125,-150
22-Nov,19:30,Wisconsin,Illinois,7.5,41,,,263,-329
22-Nov,19:30,Rice,North Texas,18.5,55.5,,,703,-1149
22-Nov,19:30,Florida,Tennessee,4.5,57.5,,,159,-193
22-Nov,19:45,LSU,Western Kentucky,-22.5,50.5,,,-2174,1078
22-Nov,20:00,Colorado,Arizona State,7,48.5,,,220,-273
22-Nov,20:00,Cincinnati,BYU,2.5,54.5,,,112,-134
22-Nov,22:30,San Diego State,San José State,-11.5,49.5,,,-455,345
22-Nov,22:30,Fresno State,Utah State,-2.5,50.5,,,-145,121
22-Nov,22:30,UCLA,Washington,10.5,51.5,,,313,-415
