HomeTeam,HomeScore,AwayTeam,AwayScore,OverUnder,Spread,OpeningSpread,OpeningOverUnder
West Virginia,45,Robert Morris,3,56.5,-40,-37.5,55.5
Iowa State,55,South Dakota,7,47.5,-16.5,-14.5,46.5
Illinois,52,Western Illinois,3,62.5,-48.5,-45.5,63.5
Kent State,21,Merrimack,17,50.5,-5.5,-6.5,50.5
Louisiana Tech,24,SE Louisiana,0,51,-14.5,-14.5,50
New Mexico State,19,Bryant,3,53.5,-19.5,-19.5,53.5
Washington State,13,Idaho,10,51,-17,-14.5,50.5
Oklahoma,35,Illinois State,3,61,-39.5,-35.5,61.5
Liberty,28,Maine,7,51,-25.5,-25.5,52.5
BYU,69,Portland State,0,61.5,-43.5,-43.5,61.5
SMU,42,East Texas A&M,13,65,-51,-50.5,63.5
Kansas State,38,North Dakota,35,55.5,-27.5,-25.5,55.5
Western Kentucky,55,North Alabama,6,60.5,-27.5,-28.5,60.5
Memphis,45,Chattanooga,10,55.5,-30.5,-28,55.5
Houston,27,Stephen F. Austin,0,54.5,-24.5,-22.5,55.5
Vanderbilt,45,Charleston Southern,3,49.5,-37.5,-37.5,48.5
Troy,38,Nicholls,20,47.5,-19.5,-21.5,48.5
South Alabama,38,Morgan State,21,51.5,-28.5,-28.5,51.5
North Texas,51,Lamar,0,63.5,-27.5,-24.5,63.5
James Madison,45,Weber State,10,54.5,-26.5,-27.5,54.5
Middle Tennessee,14,Austin Peay,34,53.5,-14.5,-13.5,53.5
UAB,52,Alabama State,42,53.5,-21,-20,53.5
Air Force,49,Bucknell,13,54.5,-31,-32,54.5
Northern Illinois,19,Holy Cross,17,48.5,-13.5,-13,51.5
Southern Utah,46,Idaho State,24,63.5,-4.5,-4.5,63.5
Kansas,46,Wagner,7,57.5,-46.5,-46.5,56.5
