date,time,Team A,Team B,Spread,OU,Team A Score Actual,Team B Score Actual,TeamAML,TeamBML
12/13/2025,20:00,Washington,Boise State,-8.5,51.5,,,,
16-Dec,21:00,Jacksonville State,Troy,4,51.5,,,,
17-Dec,17:00,South Florida,Old Dominion,-6.5,56.5,,,,
17-Dec,20:30,Delaware,Louisiana,2,58.5,,,,
18-Dec,21:00,Arkansas State,Missouri State,-2.5,56.5,,,,
19-Dec,11:00,Western Michigan,Kennesaw State,-4.5,49.5,,,,
19-Dec,14:30,NC State,Memphis,-5.5,58.5,,,,
22-Dec,14:00,Utah State,Washington State,-3.5,56.5,,,,
23-Dec,14:00,Louisville,Toledo,-9.5,46.5,,,,
23-Dec,17:30,Southern Miss,Western Kentucky,4,55.5,,,,
23-Dec,21:00,Ohio,UNLV,4.5,62.5,,,,
24-Dec,20:00,Hawaii,California,2.5,55.5,,,,
26-Dec,13:00,Northwestern,Central Michigan,-12.5,44.5,,,,
26-Dec,16:30,Minnesota,New Mexico,-3,47.5,,,,
26-Dec,20:00,UTSA,Florida International,-9.5,59.5,,,,
27-Dec,11:00,East Carolina,Pittsburgh,6,60.5,,,,
27-Dec,12:00,Clemson,Penn State,-2.5,48.5,,,,
27-Dec,14:15,Army,UConn,-3,50.5,,,,
27-Dec,15:30,BYU,Georgia Tech,-2.5,55.5,,,,
27-Dec,16:30,Fresno State,Miami (OH),-3.5,44.5,,,,
27-Dec,17:45,San Deigo State,North Texas,4.5,56.5,,,,
27-Dec,19:30,Missouri,Virginia,-7,50.5,,,,
27-Dec,21:15,Houston,LSU,-3,42.5,,,,
29-Dec,14:00,App State,Georgia Southern,2.5,59.5,,,,
30-Dec,14:00,Louisiana Tech,Coastal Carolina,-7.5,51.5,,,,
30-Dec,17:30,Illinois,Tennessee,5.5,61.5,,,,
30-Dec,21:00,TCU,USC,6.5,58.5,,,,
31-Dec,12:00,Vanderbilt,Iowa,-4,49.5,,,,
31-Dec,14:00,Duke,Arizona State,-1.5,49.5,,,,
31-Dec,15:00,Texas,Michigan,-4.5,46.5,,,,
31-Dec,15:30,Utah,Nebraska,-14,49.5,,,,
2-Jan,13:00,Texas State,Rice,-10.5,59.5,,,,
2-Jan,16:30,Cincinnati,Navy,-1.5,55.5,,,,
2-Jan,20:00,SMU,Arizona,2.5,52.5,,,,
2-Jan,20:00,Mississippi State,Wake Forest,-3,56.5,,,,
