date,time,Team A,Team B,Spread,OU,Team A Score Actual,Team B Score Actual,TeamAML,TeamBML
9/11/2025,19:30,Wake Forest,NC State,6.5,51.5,24,34,225,-275
12-Sep,19:30,Houston,Colorado,-5.5,43.5,36,20,-185,160
12-Sep,21:00,Arizona,Kansas State,1.5,54.5,23,17,-110,-110
12-Sep,22:00,UCLA,New Mexico,-15.5,52.5,10,35,-700,475
13-Sep,12:00,Kent State,Buffalo,22.5,48.5,28,31,1100,-2800
13-Sep,12:00,Georgia Tech,Clemson,3.5,53.5,24,21,175,-210
13-Sep,12:00,Michigan,Central Michigan,-27.5,41.5,63,3,-4000,1200
13-Sep,12:00,Troy,Memphis,4.5,50.5,7,28,190,-230
13-Sep,12:00,Temple,Oklahoma,23.5,52.5,3,42,1100,-3300
13-Sep,12:00,Oregon,Northwestern,-27.5,50.5,34,14,-10000,10000
13-Sep,12:00,Alabama,Wisconsin,-21,46.5,38,14,-1500,775
13-Sep,12:00,Auburn,South Alabama,-25.5,55.5,31,15,-4000,1200
13-Sep,15:00,Delaware,UConn,10,52.5,44,41,285,-370
13-Sep,15:30,Texas Tech,Oregon State,-22.5,62.5,45,14,-2800,1100
13-Sep,15:30,West Virginia,Pittsburgh,7,57.5,31,24,175,-210
13-Sep,15:30,Missouri State,SMU,27.5,60.5,10,28,1300,-5000
13-Sep,15:30,Tennessee,Georgia,3.5,49.5,41,44,150,-210
13-Sep,15:30,Purdue,USC,21,58.5,17,33,850,-1800
13-Sep,15:30,North Texas,Washington State,-5.5,58.5,59,10,-210,175
13-Sep,16:00,Arkansas State,Iowa State,21,55.5,16,24,800,-1600
13-Sep,13:00,Missouri,Louisiana,-27.5,47.5,52,10,-4000,1200
13-Sep,16:15,Texas,UTEP,-41.5,50.5,27,10,-10000,10000
13-Sep,16:30,Miami,South Florida,-17.5,56.5,49,12,-800,525
13-Sep,17:00,Bowling Green,Liberty,6.5,51.5,23,13,200,-240
13-Sep,17:00,Nevada,Middle Tennessee,-8.5,48.5,13,14,-350,275
13-Sep,18:00,Florida International,Florida Atlantic,-2.5,58.5,38,28,-125,105
13-Sep,19:00,Southern Miss,App State,2,55.5,38,22,-105,-115
13-Sep,19:00,Ole Miss,Arkansas,-7.5,61.5,41,35,-350,275
13-Sep,19:00,Georgia Southern,Jacksonville State,-3.5,58.5,41,34,-175,150
13-Sep,19:00,Virginia Tech,Old Dominion,-7.5,50.5,26,45,-300,250
13-Sep,19:00,Ohio State,Ohio,-31.5,52.5,37,9,-20000,1700
13-Sep,19:00,Illinois,Western Michigan,-27.5,50.5,38,0,-7500,1400
13-Sep,19:30,Coastal Carolina,East Carolina,7.5,56.5,0,38,205,-245
13-Sep,19:30,Kentucky,Eastern Michigan,-23.5,45.5,48,22,-4000,1200
13-Sep,19:30,LSU,Florida,-7.5,48.5,20,10,-360,280
13-Sep,19:30,Louisiana Tech,New Mexico State,-10,42.5,49,14,-410,305
13-Sep,19:30,Notre Dame,Texas A&M,-7,49.5,40,41,-240,200
13-Sep,19:30,Iowa,UMass,-35.5,42.5,47,7,-1000,1000
13-Sep,19:45,South Carolina,Vanderbilt,-5.5,48.5,7,31,-220,180
13-Sep,20:00,Tulane,Duke,-0.5,54.5,34,27,-150,130
13-Sep,20:00,Wyoming,Utah,23.5,48.5,6,31,1000,-2200
13-Sep,20:00,Tulsa,Navy,14,53.5,23,42,450,-650
13-Sep,20:30,UAB,Akron,-11.5,55.5,28,32,-470,345
13-Sep,21:45,Utah State,Air Force,4.5,50.5,49,30,155,-180
13-Sep,22:30,Stanford,Boston College,12.5,44.5,30,20,335,-450
13-Sep,22:30,California,Minnesota,1.5,43.5,27,14,105,-125
13-Sep,22:30,Arizona State,Texas State,-14.5,58.5,34,15,-650,450
